topic,date,total,code_covered,code_coverage
Action Recognition,2024-02,11,2,0.1818
Action Recognition,2024-03,55,18,0.3273
Action Recognition,2024-04,59,13,0.2203
Action Recognition,2024-05,43,11,0.2558
Action Recognition,2024-06,37,12,0.3243
Action Recognition,2024-07,61,23,0.377
Action Recognition,2024-08,37,13,0.3514
Action Recognition,2024-09,43,8,0.186
Action Recognition,2024-10,48,13,0.2708
Action Recognition,2024-11,45,9,0.2
Action Recognition,2024-12,40,14,0.35
Action Recognition,2025-01,35,8,0.2286
Action Recognition,2025-02,35,10,0.2857
Action Recognition,2025-03,55,12,0.2182
Action Recognition,2025-04,51,9,0.1765
Action Recognition,2025-05,47,17,0.3617
Action Recognition,2025-06,56,9,0.1607
Action Recognition,2025-07,26,3,0.1154
Action Recognition,2025-08,1,0,0.0
Action Recognition,2025-09,49,0,0.0
Action Recognition,2025-10,50,0,0.0
Action Recognition,2025-11,78,2,0.0256
Action Recognition,2025-12,53,0,0.0
Action Recognition,2026-01,43,1,0.0233
Action Recognition,2026-02,16,0,0.0
Action Recognition,2026-03,36,0,0.0
Action Recognition,2026-04,10,0,0.0
Anomaly Detection,2024-02,16,3,0.1875
Anomaly Detection,2024-03,111,20,0.1802
Anomaly Detection,2024-04,103,16,0.1553
Anomaly Detection,2024-05,114,24,0.2105
Anomaly Detection,2024-06,109,16,0.1468
Anomaly Detection,2024-07,115,24,0.2087
Anomaly Detection,2024-08,114,21,0.1842
Anomaly Detection,2024-09,105,17,0.1619
Anomaly Detection,2024-10,122,25,0.2049
Anomaly Detection,2024-11,106,12,0.1132
Anomaly Detection,2024-12,133,27,0.203
Anomaly Detection,2025-01,114,21,0.1842
Anomaly Detection,2025-02,133,16,0.1203
Anomaly Detection,2025-03,126,12,0.0952
Anomaly Detection,2025-04,156,8,0.0513
Anomaly Detection,2025-05,154,20,0.1299
Anomaly Detection,2025-06,137,4,0.0292
Anomaly Detection,2025-07,106,0,0.0
Anomaly Detection,2025-08,1,0,0.0
Anomaly Detection,2025-09,3,0,0.0
Anomaly Detection,2025-10,84,1,0.0119
Anomaly Detection,2025-11,104,1,0.0096
Anomaly Detection,2025-12,162,0,0.0
Anomaly Detection,2026-01,168,0,0.0
Anomaly Detection,2026-02,100,0,0.0
Anomaly Detection,2026-03,171,0,0.0
Anomaly Detection,2026-04,33,0,0.0
Audio Processing,2024-02,14,3,0.2143
Audio Processing,2024-03,72,11,0.1528
Audio Processing,2024-04,72,12,0.1667
Audio Processing,2024-05,74,15,0.2027
Audio Processing,2024-06,157,23,0.1465
Audio Processing,2024-07,103,21,0.2039
